source_file,inst_id,en,zh_corrected,zh,mbart,m2m-100,opus,taiyi,mmed-llama,,,,,,
,,,,,,,,,,,,,,,
dev.json,1adc970c-d433-44d0-aa09-d3834986f7a2,there is a 13.2% difference between the results from the two primary trial cohorts,两个主要试验组之间的结果差异为13.2%,两个主要试验组之间的结果差异为13.2%,两组主要试验组的结果有13.2%的差异,两个主要试验群体的结果之间有 13.2% 的差异,两个主要审判组之间有13.2%的差异。,13.2%的差异,,,,,,,
,,,,,,,,,,,,,,,
dev.json,24b85b44-b9e6-4c28-b3aa-1bd97102b7f1,Patients must have a palpable carcinoma to be included in the primary trial,患者必须患有有纤维腺瘤才能被纳入主要试验组,患者必须患有有纤维腺瘤才能被纳入主要试验组,"病人必须有可感知的癌细胞,才能参加初级试验","患者必须有可触摸的癌症,以被纳入初级试验","病人必须有一个明显可见的癌细胞瘤,才能纳入初级审判",肿瘤必须为可触及的肿瘤才能纳入临床试验,,,,,,,
,,,,,,,,,,,,,,,
dev.json,f46a7d27-a94f-4389-a1a0-4a8f5177b354,None of the individual Aes recorded in the primary trial affect more than than one patient,主要试验中记录的的每个不良事件均未影响超过一名患者,主要试验中记录的的每个不良事件均未影响超过一名患者,初级试验中所记录的单个Aes没有影响超过一个病人,在初级试验中记录的任何单独AES都不会影响超过一个患者。,在初级审判中记录的任何一人没有一人在初级审判中受影响的病人超过1人。,个体间Aes在多发性骨髓瘤患者中不重叠,,,,,,,
,,,,,,,,,,,,,,,
dev.json,7137dec6-5c98-4156-8035-7bbaaf0b649d,ECOG score < 2 is necessary to be eligible for the primary trial,ECOG评分 < 2 是参加主要试验的必要条件,脑皮层电图分数 < 2 是参加主要试验的必要条件,ECOG评分<2是初级试验资格的必要条件,"ECOG 得分 < 2 是必要的,以获得初级试验的资格",ECOG得分 < 2是符合初级审判资格的必要条件,ECOG评分≤2分是参加本试验的必要条件,,,,,,,
,,,,,,,,,,,,,,,
dev.json,e7604382-09cd-43b4-998f-a51b33f25c5a,the primary trial and the secondary trial participants do not receive any medication orally,主试验和次要试验的参与者都不会口服任何药物,主试验和次要试验的参与者都不会口服任何药物,初级试验和次级试验的参与者口服不接受任何药物,初级试验和次级试验的参与者没有口服任何药物。,第一次审判和第二次审判的参加者不接受任何口头药物治疗。,药物治疗前患者知情同意书,,,,,,,
,,,,,,,,,,,,,,,
